Group,Restrictions,Service,Procedure_Code,Effective_Date
All,"women 18-64; visits for recommended preventive services, preconception care, and/pr prenatal care",Wellness Examinations,99397,9/23/2010
All,"women 18-64; visits for recommended preventive services, preconception care, and/pr prenatal care",Wellness Examinations,99401,9/23/2010
All,"women 18-64; visits for recommended preventive services, preconception care, and/pr prenatal care",Wellness Examinations,99402,9/23/2010
All,"women 18-64; visits for recommended preventive services, preconception care, and/pr prenatal care",Wellness Examinations,99403,9/23/2010
All,"women 18-64; visits for recommended preventive services, preconception care, and/pr prenatal care",Wellness Examinations,99404,9/23/2010
All,"women 18-64; visits for recommended preventive services, preconception care, and/pr prenatal care",Wellness Examinations,99404,9/23/2010
All,"women 18-64; visits for recommended preventive services, preconception care, and/pr prenatal care",Wellness Examinations,99411,9/23/2010
All,"women 18-64; visits for recommended preventive services, preconception care, and/pr prenatal care",Wellness Examinations,99412,9/23/2010
All,"women 18-64; visits for recommended preventive services, preconception care, and/pr prenatal care",Wellness Examinations,99461,9/23/2010
All,"women 18-64; visits for recommended preventive services, preconception care, and/pr prenatal care",Wellness Examinations,G0101,9/23/2010
All,"women 18-64; visits for recommended preventive services, preconception care, and/pr prenatal care",Wellness Examinations,G0344,9/23/2010
All,"women 18-64; visits for recommended preventive services, preconception care, and/pr prenatal care",Wellness Examinations,G0402,9/23/2010
All,"women 18-64; visits for recommended preventive services, preconception care, and/pr prenatal care",Wellness Examinations,G0438,9/23/2010
All,"women 18-64; visits for recommended preventive services, preconception care, and/pr prenatal care",Wellness Examinations,G0439,9/23/2010
All,"women 18-64; visits for recommended preventive services, preconception care, and/pr prenatal care",Wellness Examinations,G0445,9/23/2010
All,"women 18-64; visits for recommended preventive services, preconception care, and/pr prenatal care",Wellness Examinations,S0610,9/23/2010
All,"women 18-64; visits for recommended preventive services, preconception care, and/pr prenatal care",Wellness Examinations,S0612,9/23/2010
All,"women 18-64; visits for recommended preventive services, preconception care, and/pr prenatal care",Wellness Examinations,S0613,9/23/2010
All,men 65-75 who have ever smoked,Abdominal Aortic Aneurysm Screening,76700,9/23/2010
All,men 65-75 who have ever smoked,Abdominal Aortic Aneurysm Screening,76705,9/23/2010
All,men 65-75 who have ever smoked,Abdominal Aortic Aneurysm Screening,76770,9/23/2010
All,men 65-75 who have ever smoked,Abdominal Aortic Aneurysm Screening,76775,9/23/2010
All,men 65-75 who have ever smoked,Abdominal Aortic Aneurysm Screening,G0389,9/23/2010
All,risk assessment 11+; pregnant or lactating women; all adults,Alcohol Misuse,99401,9/23/2010
All,risk assessment 11+; pregnant or lactating women; all adults,Alcohol Misuse,99402,9/23/2010
All,risk assessment 11+; pregnant or lactating women; all adults,Alcohol Misuse,99403,9/23/2010
All,risk assessment 11+; pregnant or lactating women; all adults,Alcohol Misuse,99404,9/23/2010
All,risk assessment 11+; pregnant or lactating women; all adults,Alcohol Misuse,99404,9/23/2010
All,risk assessment 11+; pregnant or lactating women; all adults,Alcohol Misuse,99408,9/23/2010
All,risk assessment 11+; pregnant or lactating women; all adults,Alcohol Misuse,99409,9/23/2010
All,risk assessment 11+; pregnant or lactating women; all adults,Alcohol Misuse,99411,9/23/2010
All,risk assessment 11+; pregnant or lactating women; all adults,Alcohol Misuse,99412,9/23/2010
All,risk assessment 11+; pregnant or lactating women; all adults,Alcohol Misuse,G0396,9/23/2010
All,risk assessment 11+; pregnant or lactating women; all adults,Alcohol Misuse,G0397,9/23/2010
All,risk assessment 11+; pregnant or lactating women; all adults,Alcohol Misuse,G0442,9/23/2010
All,pregnant or lactating women; iron supplements 6-12 months; ,"Anemia, Iron Deficiency Anemia Screening",36415,9/23/2010
All,pregnant or lactating women; iron supplements 6-12 months; ,"Anemia, Iron Deficiency Anemia Screening",36416,9/23/2010
All,pregnant or lactating women; iron supplements 6-12 months; ,"Anemia, Iron Deficiency Anemia Screening",85013,9/23/2010
All,pregnant or lactating women; iron supplements 6-12 months; ,"Anemia, Iron Deficiency Anemia Screening",85014,9/23/2010
All,pregnant or lactating women; iron supplements 6-12 months; ,"Anemia, Iron Deficiency Anemia Screening",85041,9/23/2010
All,pregnant or lactating women; iron supplements 6-12 months; ,"Anemia, Iron Deficiency Anemia Screening",85018,9/23/2010
All,pregnant or lactating women,Bacteriuria Screening,81007,9/23/2010
All,adults at high risk; all sexually active women; sexually active adolescents,Behavioral Counseling to Prevent Sexually Transmitted Infections,99401,8/1/2012
All,adults at high risk; all sexually active women; sexually active adolescents,Behavioral Counseling to Prevent Sexually Transmitted Infections,99402,8/1/2012
All,adults at high risk; all sexually active women; sexually active adolescents,Behavioral Counseling to Prevent Sexually Transmitted Infections,99403,8/1/2012
All,adults at high risk; all sexually active women; sexually active adolescents,Behavioral Counseling to Prevent Sexually Transmitted Infections,99404,8/1/2012
All,adults at high risk; all sexually active women; sexually active adolescents,Behavioral Counseling to Prevent Sexually Transmitted Infections,99404,8/1/2012
All,adults at high risk; all sexually active women; sexually active adolescents,Behavioral Counseling to Prevent Sexually Transmitted Infections,G0445,8/1/2012
All,pregnant or lactating women,"Breastfeeding Support, Supplies, and Counseling",99201,8/1/2012
All,pregnant or lactating women,"Breastfeeding Support, Supplies, and Counseling",99202,8/1/2012
All,pregnant or lactating women,"Breastfeeding Support, Supplies, and Counseling",99203,8/1/2012
All,pregnant or lactating women,"Breastfeeding Support, Supplies, and Counseling",99203,8/1/2012
All,pregnant or lactating women,"Breastfeeding Support, Supplies, and Counseling",99211,8/1/2012
All,pregnant or lactating women,"Breastfeeding Support, Supplies, and Counseling",99212,8/1/2012
All,pregnant or lactating women,"Breastfeeding Support, Supplies, and Counseling",99213,8/1/2012
All,pregnant or lactating women,"Breastfeeding Support, Supplies, and Counseling",99214,8/1/2012
All,pregnant or lactating women,"Breastfeeding Support, Supplies, and Counseling",99214,8/1/2012
All,pregnant or lactating women,"Breastfeeding Support, Supplies, and Counseling",99241,8/1/2012
All,pregnant or lactating women,"Breastfeeding Support, Supplies, and Counseling",99242,8/1/2012
All,pregnant or lactating women,"Breastfeeding Support, Supplies, and Counseling",99243,8/1/2012
All,pregnant or lactating women,"Breastfeeding Support, Supplies, and Counseling",99244,8/1/2012
All,pregnant or lactating women,"Breastfeeding Support, Supplies, and Counseling",99245,8/1/2012
All,pregnant or lactating women,"Breastfeeding Support, Supplies, and Counseling",99245,8/1/2012
All,pregnant or lactating women,"Breastfeeding Support, Supplies, and Counseling",99341,8/1/2012
All,pregnant or lactating women,"Breastfeeding Support, Supplies, and Counseling",99342,8/1/2012
All,pregnant or lactating women,"Breastfeeding Support, Supplies, and Counseling",99343,8/1/2012
All,pregnant or lactating women,"Breastfeeding Support, Supplies, and Counseling",99344,8/1/2012
All,pregnant or lactating women,"Breastfeeding Support, Supplies, and Counseling",99345,8/1/2012
All,pregnant or lactating women,"Breastfeeding Support, Supplies, and Counseling",99345,8/1/2012
All,pregnant or lactating women,"Breastfeeding Support, Supplies, and Counseling",99347,8/1/2012
All,pregnant or lactating women,"Breastfeeding Support, Supplies, and Counseling",99348,8/1/2012
All,pregnant or lactating women,"Breastfeeding Support, Supplies, and Counseling",99349,8/1/2012
All,pregnant or lactating women,"Breastfeeding Support, Supplies, and Counseling",99350,8/1/2012
All,pregnant or lactating women,"Breastfeeding Support, Supplies, and Counseling",99350,8/1/2012
All,pregnant or lactating women,"Breastfeeding Support, Supplies, and Counseling",99401,8/1/2012
All,pregnant or lactating women,"Breastfeeding Support, Supplies, and Counseling",99402,8/1/2012
All,pregnant or lactating women,"Breastfeeding Support, Supplies, and Counseling",99403,8/1/2012
All,pregnant or lactating women,"Breastfeeding Support, Supplies, and Counseling",99404,8/1/2012
All,pregnant or lactating women,"Breastfeeding Support, Supplies, and Counseling",99404,8/1/2012
All,pregnant or lactating women,"Breastfeeding Support, Supplies, and Counseling",99411,8/1/2012
All,pregnant or lactating women,"Breastfeeding Support, Supplies, and Counseling",99412,8/1/2012
All,pregnant or lactating women,"Breastfeeding Support, Supplies, and Counseling",99412,8/1/2012
All,pregnant or lactating women,"Breastfeeding Support, Supplies, and Counseling",A4281,8/1/2012
All,pregnant or lactating women,"Breastfeeding Support, Supplies, and Counseling",A4282,8/1/2012
All,pregnant or lactating women,"Breastfeeding Support, Supplies, and Counseling",A4283,8/1/2012
All,pregnant or lactating women,"Breastfeeding Support, Supplies, and Counseling",A4284,8/1/2012
All,pregnant or lactating women,"Breastfeeding Support, Supplies, and Counseling",A4285,8/1/2012
All,pregnant or lactating women,"Breastfeeding Support, Supplies, and Counseling",A4286,8/1/2012
All,pregnant or lactating women,"Breastfeeding Support, Supplies, and Counseling",A4286,8/1/2012
All,pregnant or lactating women,"Breastfeeding Support, Supplies, and Counseling",E0602,8/1/2012
All,pregnant or lactating women,"Breastfeeding Support, Supplies, and Counseling",E0603,8/1/2012
All,pregnant or lactating women,"Breastfeeding Support, Supplies, and Counseling",E0604,8/1/2012
All,pregnant or lactating women,"Breastfeeding Support, Supplies, and Counseling",E0604,8/1/2012
All,pregnant or lactating women,"Breastfeeding Support, Supplies, and Counseling",S9443,8/1/2012
All,women 21+ with a cervix,Cervical Cancer,88141,9/23/2010
All,women 21+ with a cervix,Cervical Cancer,88142,9/23/2010
All,women 21+ with a cervix,Cervical Cancer,88143,9/23/2010
All,women 21+ with a cervix,Cervical Cancer,88143,9/23/2010
All,women 21+ with a cervix,Cervical Cancer,88147,9/23/2010
All,women 21+ with a cervix,Cervical Cancer,88148,9/23/2010
All,women 21+ with a cervix,Cervical Cancer,88150,9/23/2010
All,women 21+ with a cervix,Cervical Cancer,88152,9/23/2010
All,women 21+ with a cervix,Cervical Cancer,88153,9/23/2010
All,women 21+ with a cervix,Cervical Cancer,88154,9/23/2010
All,women 21+ with a cervix,Cervical Cancer,88155,9/23/2010
All,women 21+ with a cervix,Cervical Cancer,88155,9/23/2010
All,women 21+ with a cervix,Cervical Cancer,88164,9/23/2010
All,women 21+ with a cervix,Cervical Cancer,88165,9/23/2010
All,women 21+ with a cervix,Cervical Cancer,88166,9/23/2010
All,women 21+ with a cervix,Cervical Cancer,88167,9/23/2010
All,women 21+ with a cervix,Cervical Cancer,88167,9/23/2010
All,women 21+ with a cervix,Cervical Cancer,88174,9/23/2010
All,women 21+ with a cervix,Cervical Cancer,88175,9/23/2010
All,women 21+ with a cervix,Cervical Cancer,G0101,9/23/2010
All,women 21+ with a cervix,Cervical Cancer,G0123,9/23/2010
All,women 21+ with a cervix,Cervical Cancer,G0124,9/23/2010
All,women 21+ with a cervix,Cervical Cancer,G0141,9/23/2010
All,women 21+ with a cervix,Cervical Cancer,G0143,9/23/2010
All,women 21+ with a cervix,Cervical Cancer,G0144,9/23/2010
All,women 21+ with a cervix,Cervical Cancer,G0145,9/23/2010
All,women 21+ with a cervix,Cervical Cancer,G0145,9/23/2010
All,women 21+ with a cervix,Cervical Cancer,G0147,9/23/2010
All,women 21+ with a cervix,Cervical Cancer,G0148,9/23/2010
All,women 21+ with a cervix,Cervical Cancer,P3000,9/23/2010
All,women 21+ with a cervix,Cervical Cancer,P3001,9/23/2010
All,women 21+ with a cervix,Cervical Cancer,Q0091,9/23/2010
All,women at high risk,Chemoprevention of Breast Cancer,99201,9/23/2010
All,women at high risk,Chemoprevention of Breast Cancer,99202,9/23/2010
All,women at high risk,Chemoprevention of Breast Cancer,99203,9/23/2010
All,women at high risk,Chemoprevention of Breast Cancer,99204,9/23/2010
All,women at high risk,Chemoprevention of Breast Cancer,99205,9/23/2010
All,women at high risk,Chemoprevention of Breast Cancer,99205,9/23/2010
All,women at high risk,Chemoprevention of Breast Cancer,99211,9/23/2010
All,women at high risk,Chemoprevention of Breast Cancer,99212,9/23/2010
All,women at high risk,Chemoprevention of Breast Cancer,99213,9/23/2010
All,women at high risk,Chemoprevention of Breast Cancer,99214,9/23/2010
All,women at high risk,Chemoprevention of Breast Cancer,99215,9/23/2010
All,women at high risk,Chemoprevention of Breast Cancer,99215,9/23/2010
All,women at high risk,Chemoprevention of Breast Cancer,99385,9/23/2010
All,women at high risk,Chemoprevention of Breast Cancer,99386,9/23/2010
All,women at high risk,Chemoprevention of Breast Cancer,99387,9/23/2010
All,women at high risk,Chemoprevention of Breast Cancer,99387,9/23/2010
All,women at high risk,Chemoprevention of Breast Cancer,99395,9/23/2010
All,women at high risk,Chemoprevention of Breast Cancer,99396,9/23/2010
All,women at high risk,Chemoprevention of Breast Cancer,99397,9/23/2010
All,women at high risk,Chemoprevention of Breast Cancer,99397,9/23/2010
All,women <=24 years; older women at risk; pregnant or lactating women,Chlamydia Infection Screening,36415,9/23/2010
All,women <=24 years; older women at risk; pregnant or lactating women,Chlamydia Infection Screening,36416,9/23/2010
All,women <=24 years; older women at risk; pregnant or lactating women,Chlamydia Infection Screening,86631,9/23/2010
All,women <=24 years; older women at risk; pregnant or lactating women,Chlamydia Infection Screening,86632,9/23/2010
All,women <=24 years; older women at risk; pregnant or lactating women,Chlamydia Infection Screening,87110,9/23/2010
All,women <=24 years; older women at risk; pregnant or lactating women,Chlamydia Infection Screening,87270,9/23/2010
All,women <=24 years; older women at risk; pregnant or lactating women,Chlamydia Infection Screening,87320,9/23/2010
All,women <=24 years; older women at risk; pregnant or lactating women,Chlamydia Infection Screening,87490,9/23/2010
All,women <=24 years; older women at risk; pregnant or lactating women,Chlamydia Infection Screening,87491,9/23/2010
All,women <=24 years; older women at risk; pregnant or lactating women,Chlamydia Infection Screening,87492,9/23/2010
All,women <=24 years; older women at risk; pregnant or lactating women,Chlamydia Infection Screening,87801,9/23/2010
All,women <=24 years; older women at risk; pregnant or lactating women,Chlamydia Infection Screening,87810,9/23/2010
All,MISSING,Chlamydia Infection Screening,G0450,MISSING
All,high risk women 20+; at risk men 20-35; all men 35+,Cholesterol Screening,36415,9/23/2010
All,high risk women 20+; at risk men 20-35; all men 35+,Cholesterol Screening,36416,9/23/2010
All,high risk women 20+; at risk men 20-35; all men 35+,Cholesterol Screening,80061,9/23/2010
All,high risk women 20+; at risk men 20-35; all men 35+,Cholesterol Screening,82465,9/23/2010
All,high risk women 20+; at risk men 20-35; all men 35+,Cholesterol Screening,83718,9/23/2010
All,high risk women 20+; at risk men 20-35; all men 35+,Cholesterol Screening,83719,9/23/2010
All,high risk women 20+; at risk men 20-35; all men 35+,Cholesterol Screening,83721,9/23/2010
All,high risk women 20+; at risk men 20-35; all men 35+,Cholesterol Screening,84478,9/23/2010
All,adults 50-75,Colorectal Cancer Screening,44388,9/23/2010
All,adults 50-75,Colorectal Cancer Screening,44389,9/23/2010
All,adults 50-75,Colorectal Cancer Screening,44392,9/23/2010
All,adults 50-75,Colorectal Cancer Screening,44393,9/23/2010
All,adults 50-75,Colorectal Cancer Screening,44394,9/23/2010
All,adults 50-75,Colorectal Cancer Screening,44394,9/23/2010
All,adults 50-75,Colorectal Cancer Screening,45300,9/23/2010
All,adults 50-75,Colorectal Cancer Screening,45301,9/23/2010
All,adults 50-75,Colorectal Cancer Screening,45302,9/23/2010
All,adults 50-75,Colorectal Cancer Screening,45303,9/23/2010
All,adults 50-75,Colorectal Cancer Screening,45304,9/23/2010
All,adults 50-75,Colorectal Cancer Screening,45305,9/23/2010
All,adults 50-75,Colorectal Cancer Screening,45307,9/23/2010
All,adults 50-75,Colorectal Cancer Screening,45308,9/23/2010
All,adults 50-75,Colorectal Cancer Screening,45309,9/23/2010
All,adults 50-75,Colorectal Cancer Screening,45310,9/23/2010
All,adults 50-75,Colorectal Cancer Screening,45311,9/23/2010
All,adults 50-75,Colorectal Cancer Screening,45312,9/23/2010
All,adults 50-75,Colorectal Cancer Screening,45313,9/23/2010
All,adults 50-75,Colorectal Cancer Screening,45314,9/23/2010
All,adults 50-75,Colorectal Cancer Screening,45315,9/23/2010
All,adults 50-75,Colorectal Cancer Screening,45316,9/23/2010
All,adults 50-75,Colorectal Cancer Screening,45317,9/23/2010
All,adults 50-75,Colorectal Cancer Screening,45318,9/23/2010
All,adults 50-75,Colorectal Cancer Screening,45319,9/23/2010
All,adults 50-75,Colorectal Cancer Screening,45320,9/23/2010
All,adults 50-75,Colorectal Cancer Screening,45320,9/23/2010
All,adults 50-75,Colorectal Cancer Screening,45330,9/23/2010
All,adults 50-75,Colorectal Cancer Screening,45331,9/23/2010
All,adults 50-75,Colorectal Cancer Screening,45332,9/23/2010
All,adults 50-75,Colorectal Cancer Screening,45333,9/23/2010
All,adults 50-75,Colorectal Cancer Screening,45334,9/23/2010
All,adults 50-75,Colorectal Cancer Screening,45335,9/23/2010
All,adults 50-75,Colorectal Cancer Screening,45335,9/23/2010
All,adults 50-75,Colorectal Cancer Screening,45338,9/23/2010
All,adults 50-75,Colorectal Cancer Screening,45339,9/23/2010
All,adults 50-75,Colorectal Cancer Screening,45340,9/23/2010
All,adults 50-75,Colorectal Cancer Screening,45340,9/23/2010
All,adults 50-75,Colorectal Cancer Screening,45378,9/23/2010
All,adults 50-75,Colorectal Cancer Screening,45379,9/23/2010
All,adults 50-75,Colorectal Cancer Screening,45380,9/23/2010
All,adults 50-75,Colorectal Cancer Screening,45381,9/23/2010
All,adults 50-75,Colorectal Cancer Screening,45382,9/23/2010
All,adults 50-75,Colorectal Cancer Screening,45383,9/23/2010
All,adults 50-75,Colorectal Cancer Screening,45384,9/23/2010
All,adults 50-75,Colorectal Cancer Screening,45385,9/23/2010
All,adults 50-75,Colorectal Cancer Screening,45386,9/23/2010
All,adults 50-75,Colorectal Cancer Screening,45386,9/23/2010
All,adults 50-75,Colorectal Cancer Screening,74263,9/23/2010
All,adults 50-75,Colorectal Cancer Screening,82270,9/23/2010
All,adults 50-75,Colorectal Cancer Screening,82274,9/23/2010
All,adults 50-75,Colorectal Cancer Screening,88304,9/23/2010
All,adults 50-75,Colorectal Cancer Screening,88305,9/23/2010
All,adults 50-75,Colorectal Cancer Screening,G0104,9/23/2010
All,adults 50-75,Colorectal Cancer Screening,G0105,9/23/2010
All,adults 50-75,Colorectal Cancer Screening,G0106,9/23/2010
All,adults 50-75,Colorectal Cancer Screening,G0107,9/23/2010
All,adults 50-75,Colorectal Cancer Screening,G0107,9/23/2010
All,adults 50-75,Colorectal Cancer Screening,G0120,9/23/2010
All,adults 50-75,Colorectal Cancer Screening,G0121,9/23/2010
All,adults 50-75,Colorectal Cancer Screening,G0122,9/23/2010
All,adults 50-75,Colorectal Cancer Screening,G0122,9/23/2010
All,adults 50-75,Colorectal Cancer Screening,G0328,9/23/2010
All,adults 50-75,Colorectal Cancer Screening,G0394,9/23/2010
All,adults 50-75,Colorectal Cancer Screening,S0601,9/23/2010
All,adults 50-75,Colorectal Cancer Screening,S3890,9/23/2010
All,adolescents 11+; adults when follow up supports available,Depression,99420,9/23/2010
All,adolescents 11+; adults when follow up supports available,Depression,G0444,9/23/2010
All,adults with elevated blood pressure,Diabetes Screening,36415,9/23/2010
All,adults with elevated blood pressure,Diabetes Screening,36416,9/23/2010
All,adults with elevated blood pressure,Diabetes Screening,82947,9/23/2010
All,adults with elevated blood pressure,Diabetes Screening,82948,9/23/2010
All,adults with elevated blood pressure,Diabetes Screening,82950,9/23/2010
All,adults with elevated blood pressure,Diabetes Screening,82951,9/23/2010
All,adults with elevated blood pressure,Diabetes Screening,82952,9/23/2010
All,adults with elevated blood pressure,Diabetes Screening,82952,9/23/2010
All,adults with elevated blood pressure,Diabetes Screening,83036,9/23/2010
All,women at high risk,Genetic Counseling and Evaluation for BRCA Testing,96040,9/23/2010
All,women at high risk,Genetic Counseling and Evaluation for BRCA Testing,99201,9/23/2010
All,women at high risk,Genetic Counseling and Evaluation for BRCA Testing,99202,9/23/2010
All,women at high risk,Genetic Counseling and Evaluation for BRCA Testing,99203,9/23/2010
All,women at high risk,Genetic Counseling and Evaluation for BRCA Testing,99204,9/23/2010
All,women at high risk,Genetic Counseling and Evaluation for BRCA Testing,99205,9/23/2010
All,women at high risk,Genetic Counseling and Evaluation for BRCA Testing,99205,9/23/2010
All,women at high risk,Genetic Counseling and Evaluation for BRCA Testing,99211,9/23/2010
All,women at high risk,Genetic Counseling and Evaluation for BRCA Testing,99212,9/23/2010
All,women at high risk,Genetic Counseling and Evaluation for BRCA Testing,99213,9/23/2010
All,women at high risk,Genetic Counseling and Evaluation for BRCA Testing,99214,9/23/2010
All,women at high risk,Genetic Counseling and Evaluation for BRCA Testing,99215,9/23/2010
All,women at high risk,Genetic Counseling and Evaluation for BRCA Testing,99215,9/23/2010
All,women at high risk,Genetic Counseling and Evaluation for BRCA Testing,99385,9/23/2010
All,women at high risk,Genetic Counseling and Evaluation for BRCA Testing,99386,9/23/2010
All,women at high risk,Genetic Counseling and Evaluation for BRCA Testing,99387,9/23/2010
All,women at high risk,Genetic Counseling and Evaluation for BRCA Testing,99387,9/23/2010
All,women at high risk,Genetic Counseling and Evaluation for BRCA Testing,99395,9/23/2010
All,women at high risk,Genetic Counseling and Evaluation for BRCA Testing,99396,9/23/2010
All,women at high risk,Genetic Counseling and Evaluation for BRCA Testing,99397,9/23/2010
All,women at high risk,Genetic Counseling and Evaluation for BRCA Testing,99397,9/23/2010
All,women at high risk,Genetic Counseling and Evaluation for BRCA Testing,S0265,9/23/2010
All,pregnant or lactating women; sexually active women <=24 years old; older women at risk,Gonorrhea Screening,87590,9/23/2010
All,pregnant or lactating women; sexually active women <=24 years old; older women at risk,Gonorrhea Screening,87591,9/23/2010
All,pregnant or lactating women; sexually active women <=24 years old; older women at risk,Gonorrhea Screening,87592,9/23/2010
All,pregnant or lactating women; sexually active women <=24 years old; older women at risk,Gonorrhea Screening,87801,9/23/2010
All,pregnant or lactating women; sexually active women <=24 years old; older women at risk,Gonorrhea Screening,87850,9/23/2010
All,MISSING,Gonorrhea Screening,G0450,MISSING
All,referral for intervention for adults >=BMI 30kg/m^2; counseling obese children 6+,Healthy Diet/Obesity Counseling,97802,9/23/2010
All,referral for intervention for adults >=BMI 30kg/m^2; counseling obese children 6+,Healthy Diet/Obesity Counseling,97803,9/23/2010
All,referral for intervention for adults >=BMI 30kg/m^2; counseling obese children 6+,Healthy Diet/Obesity Counseling,97804,9/23/2010
All,referral for intervention for adults >=BMI 30kg/m^2; counseling obese children 6+,Healthy Diet/Obesity Counseling,97804,9/23/2010
All,referral for intervention for adults >=BMI 30kg/m^2; counseling obese children 6+,Healthy Diet/Obesity Counseling,99401,9/23/2010
All,referral for intervention for adults >=BMI 30kg/m^2; counseling obese children 6+,Healthy Diet/Obesity Counseling,99402,9/23/2010
All,referral for intervention for adults >=BMI 30kg/m^2; counseling obese children 6+,Healthy Diet/Obesity Counseling,99403,9/23/2010
All,referral for intervention for adults >=BMI 30kg/m^2; counseling obese children 6+,Healthy Diet/Obesity Counseling,99404,9/23/2010
All,referral for intervention for adults >=BMI 30kg/m^2; counseling obese children 6+,Healthy Diet/Obesity Counseling,99404,9/23/2010
All,referral for intervention for adults >=BMI 30kg/m^2; counseling obese children 6+,Healthy Diet/Obesity Counseling,99411,9/23/2010
All,referral for intervention for adults >=BMI 30kg/m^2; counseling obese children 6+,Healthy Diet/Obesity Counseling,99412,9/23/2010
All,referral for intervention for adults >=BMI 30kg/m^2; counseling obese children 6+,Healthy Diet/Obesity Counseling,G0270,9/23/2010
All,referral for intervention for adults >=BMI 30kg/m^2; counseling obese children 6+,Healthy Diet/Obesity Counseling,G0271,9/23/2010
All,referral for intervention for adults >=BMI 30kg/m^2; counseling obese children 6+,Healthy Diet/Obesity Counseling,G0446,9/23/2010
All,referral for intervention for adults >=BMI 30kg/m^2; counseling obese children 6+,Healthy Diet/Obesity Counseling,G0447,9/23/2010
All,referral for intervention for adults >=BMI 30kg/m^2; counseling obese children 6+,Healthy Diet/Obesity Counseling,G0449,9/23/2010
All,referral for intervention for adults >=BMI 30kg/m^2; counseling obese children 6+,Healthy Diet/Obesity Counseling,S9470,9/23/2010
All,pregnant or lactating women; adults at high risk for infection; adolescents at high risk for infectrion,Hepatitis B Virus Infection Screening,36415,9/23/2010
All,pregnant or lactating women; adults at high risk for infection; adolescents at high risk for infectrion,Hepatitis B Virus Infection Screening,36416,9/23/2010
All,pregnant or lactating women; adults at high risk for infection; adolescents at high risk for infectrion,Hepatitis B Virus Infection Screening,87340,9/23/2010
All,pregnant or lactating women; adults at high risk for infection; adolescents at high risk for infectrion,Hepatitis B Virus Infection Screening,87341,9/23/2010
All,high risk adults; one time screening for adults born between 1945-1965,Hepatitis C Screening,86803,9/23/2010
All,high risk adults; one time screening for adults born between 1945-1965,Hepatitis C Screening,86804,9/23/2010
All,adults 15-65; at risk younger adolescents and older adults,HIV Screening,36415,9/23/2010
All,adults 15-65; at risk younger adolescents and older adults,HIV Screening,36416,9/23/2010
All,adults 15-65; at risk younger adolescents and older adults,HIV Screening,86689,9/23/2010
All,adults 15-65; at risk younger adolescents and older adults,HIV Screening,86701,9/23/2010
